[PTRACE] op=from_f32_p8e0 rank=1 shape=[24] n=24 min=-2.25 max=1.28125 mean=-0.197917 absmax=2.25 sample=[-1.40625,-1.0625,0.09375,-0.1875]
[PTRACE] op=from_f32_p8e0 rank=4 shape=[24,144,1,1] n=3456 min=-0.96875 max=1.21875 mean=0.0100233 absmax=1.21875 sample=[-0.015625,-0.046875,-0.203125,0.28125]
[PTRACE] op=gemm_p8e0 rank=3 shape=[1,24,3136] n=75264 min=-32 max=32 mean=0.212723 absmax=32 sample=[-1.59375,4,-6,5.5]
[PTRACE] op=add_p8e0 rank=3 shape=[1,24,3136] n=75264 min=-32 max=32 mean=0.00690112 absmax=32 sample=[-3,2.625,-7.5,4]
[PTRACE] op=add_p8e0 rank=4 shape=[1,24,56,56] n=75264 min=-32 max=32 mean=-0.34296 absmax=32 sample=[0.375,3.125,-6.5,5]
[PTRACE] op=from_f32_p8e0 rank=1 shape=[144] n=144 min=-0.328125 max=0.328125 mean=0.0399306 absmax=0.328125 sample=[0.109375,0.203125,0.03125,0.25]
[PTRACE] op=from_f32_p8e0 rank=4 shape=[144,24,1,1] n=3456 min=-0.3125 max=0.3125 mean=-0.000840929 absmax=0.3125 sample=[-0.03125,-0.0625,0.078125,-0.015625]
[PTRACE] op=gemm_p8e0 rank=3 shape=[1,144,3136] n=451584 min=-24 max=16 mean=0.00425793 absmax=24 sample=[-1.53125,0.34375,0.6875,-0.65625]
[PTRACE] op=add_p8e0 rank=3 shape=[1,144,3136] n=451584 min=-24 max=16 mean=0.0463309 absmax=24 sample=[-1.4375,0.453125,0.796875,-0.546875]
[PTRACE] op=from_f32_p8e0 rank=1 shape=[144] n=144 min=-0.453125 max=1.59375 mean=0.224392 absmax=1.59375 sample=[0.828125,-0.078125,0.421875,1.03125]
[PTRACE] op=from_f32_p8e0 rank=4 shape=[144,1,3,3] n=1296 min=-5.5 max=6 mean=0.0263672 absmax=6 sample=[-0.140625,-0.28125,-0.1875,-0.28125]
[PTRACE] op=conv2d_nchw_p8e0 rank=4 shape=[1,144,28,28] n=112896 min=-32 max=32 mean=0.18552 absmax=32 sample=[1.0625,0.078125,0.9375,2.125]
